Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2021,CA,California,Stanislaus,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.1,,,2.8,3.5,552999,06099,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-121.0028311 37.5623162)
2021,CA,California,Alameda,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.6,,,7.6,9.8,1648556,06001,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-121.912488 37.6471385)
2021,CA,California,Orange,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,2.9,,,2.5,3.3,3167809,06059,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-117.7772068 33.6756872)
2021,CA,California,Sutter,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,32.9,,,28.1,38.0,99063,06101,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-121.7039397 39.0361898)
2021,CA,California,Fresno,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,4.9,,,4.3,5.6,1013581,06019,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-119.6550193 36.7610058)
2021,CA,California,Siskiyou,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3,,,2.7,3.4,44118,06093,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-122.5332868 41.5879861)
2021,CA,California,Merced,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.4,,,3.1,3.7,286461,06047,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-120.7228019 37.1948063)
2020,CA,California,Kings,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,13.3,,,10.0,16.9,153443,06031,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-119.8155301 36.072478)
2021,CA,California,San Mateo,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.5,,,4.8,6.2,737888,06081,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-122.3715457 37.4146725)
2021,CA,California,San Benito,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.3,,,8.1,10.5,66677,06069,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-121.0858108 36.6116507)
2021,CA,California,El Dorado,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,18,,,14.1,22.1,193221,06017,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-120.5342245 38.7856116)
2020,CA,California,Glenn,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,34.5,,,27.6,41.5,28805,06021,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-122.4016998 39.6025462)
2020,CA,California,San Bernardino,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,72.3,,,69.5,75.5,2194710,06071,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-116.1815707 34.8566615)
2021,CA,California,Plumas,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,26.4,,,22.4,30.6,19915,06063,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-120.8243709 39.9922953)
2020,CA,California,San Francisco,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,67.3,,,63.4,70.6,815201,06075,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-123.0322294 37.7272391)
2021,CA,California,San Benito,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.6,,,2.3,2.9,66677,06069,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-121.0858108 36.6116507)
2021,CA,California,Santa Barbara,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,11.9,,,10.0,14.0,446475,06083,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-120.0383645 34.5366774)
2021,CA,California,Tehama,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,34.2,,,29.4,39.1,65498,06103,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-122.2322737 40.1261573)
2021,CA,California,Nevada,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.3,,,12.6,18.3,103487,06057,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-120.7713429 39.2975082)
2021,CA,California,Lake,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,31.9,,,27.4,36.6,68766,06033,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-122.7467569 39.0948019)
2021,CA,California,Solano,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.4,,,4.7,6.1,451716,06095,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-121.939594 38.2672255)
2020,CA,California,Kern,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,13.7,,,10.2,17.5,917673,06029,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-118.7295064 35.3466288)
2021,CA,California,Colusa,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,53.7,,,48.5,58.9,21917,06011,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-122.2375629 39.1777385)
2021,CA,California,Humboldt,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,55.3,,,49.9,60.3,136310,06023,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-123.9261757 40.7066554)
2021,CA,California,Tuolumne,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,7.4,,,5.8,9.3,55810,06109,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-119.9647335 38.0214344)
2020,CA,California,Mariposa,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,60.6,,,57.1,63.9,17147,06043,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-119.9117215 37.5743432)
2021,CA,California,Sacramento,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.5,3.1,1588921,06067,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-121.3443291 38.4501363)
2021,CA,California,Placer,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,9.2,,,7.8,10.7,412300,06061,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-120.7227181 39.0620323)
2020,CA,California,Marin,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,37.5,,,30.0,44.4,260206,06041,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-122.7463958 38.0513667)
2021,CA,California,Colusa,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,16.5,,,14.3,19.0,21917,06011,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-122.2375629 39.1777385)
2021,CA,California,Santa Cruz,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,84.6,,,81.6,87.2,267792,06087,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-122.0077889 37.0123466)
2021,CA,California,Butte,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,14.6,,,11.5,18.2,208309,06007,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-121.6032086 39.6653362)
2021,CA,California,Merced,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6,,,5.3,6.8,286461,06047,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-120.7228019 37.1948063)
2021,CA,California,Tulare,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,17.4,,,15.0,20.0,477054,06107,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-118.7810551 36.2288339)
2021,CA,California,Calaveras,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.5,3.1,46221,06009,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-120.5541065 38.1910682)
2020,CA,California,Solano,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,71.7,,,68.6,74.5,451716,06095,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-121.939594 38.2672255)
2020,CA,California,Nevada,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,84.9,,,82.5,87.1,103487,06057,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-120.7713429 39.2975082)
2021,CA,California,San Francisco,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.2,,,4.7,5.7,815201,06075,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-123.0322294 37.7272391)
2020,CA,California,Tulare,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,66.7,,,62.5,70.2,477054,06107,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-118.7810551 36.2288339)
2021,CA,California,Inyo,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.6,,,85.1,89.8,18970,06027,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-117.4042092 36.5621604)
2021,CA,California,Alameda,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,2.7,,,2.4,3.2,1648556,06001,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-121.912488 37.6471385)
2021,CA,California,San Joaquin,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3,,,2.7,3.3,789410,06077,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-121.272244 37.9349815)
2021,CA,California,Plumas,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.1,,,3.5,4.6,19915,06063,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-120.8243709 39.9922953)
2021,CA,California,Madera,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.5,,,3.2,3.9,159410,06039,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-119.7498023 37.2098213)
2021,CA,California,Del Norte,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,15.7,,,13.5,18.0,28100,06015,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-123.9809983 41.7499033)
2021,CA,California,Plumas,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,41.1,,,36.0,46.5,19915,06063,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-120.8243709 39.9922953)
2020,CA,California,Tehama,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,66,,,61.2,70.6,65498,06103,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-122.2322737 40.1261573)
2020,CA,California,San Bernardino,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,59,,,55.9,62.1,2194710,06071,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-116.1815707 34.8566615)
2020,CA,California,Merced,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,55.5,,,52.8,58.4,286461,06047,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-120.7228019 37.1948063)
2021,CA,California,Mendocino,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35.1,,,30.7,39.7,91305,06045,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-123.4428811 39.4323876)
2021,CA,California,Santa Clara,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,3.8,,,3.3,4.3,1885508,06085,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-121.6895401 37.2216142)
2021,CA,California,San Francisco,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,17.5,,,14.7,20.4,815201,06075,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-123.0322294 37.7272391)
2020,CA,California,Santa Barbara,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,64.2,,,60.9,67.3,446475,06083,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-120.0383645 34.5366774)
2021,CA,California,El Dorado,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.1,,,21.7,35.5,193221,06017,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-120.5342245 38.7856116)
2020,CA,California,Los Angeles,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,59.7,,,56.6,62.9,9829544,06037,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-118.2618616 34.1963983)
2021,CA,California,Merced,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,17.4,,,15.0,20.0,286461,06047,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-120.7228019 37.1948063)
2021,CA,California,Alpine,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,5.5,,,4.7,6.4,1235,06003,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-119.7983522 38.6217831)
2021,CA,California,Sonoma,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,9.7,,,8.5,11.1,485887,06097,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-122.9261095 38.5251824)
2020,CA,California,Sierra,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,66.6,,,61.8,71.4,3283,06091,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-120.5219926 39.5769252)
2021,CA,California,San Francisco,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.2,,,2.0,2.5,815201,06075,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-123.0322294 37.7272391)
2021,CA,California,Monterey,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,4.2,,,3.6,4.9,437325,06053,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-121.3155781 36.2401044)
2020,CA,California,Marin,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,66,,,62.7,69.0,260206,06041,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-122.7463958 38.0513667)
2020,CA,California,Alpine,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,61.8,,,58.8,64.8,1235,06003,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-119.7983522 38.6217831)
2021,CA,California,Amador,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,29.8,,,25.6,34.5,41259,06005,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-120.653858 38.4435493)
2021,CA,California,Los Angeles,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,12.5,,,10.7,14.5,9829544,06037,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-118.2618616 34.1963983)
2021,CA,California,Modoc,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,19.8,,,16.3,24.0,8661,06049,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-120.7183704 41.5929185)
2021,CA,California,Tehama,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,16,,,13.6,18.7,65498,06103,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-122.2322737 40.1261573)
2021,CA,California,Santa Clara,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.9,,,6.9,9.0,1885508,06085,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-121.6895401 37.2216142)
2021,CA,California,San Benito,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,4.7,,,3.9,5.6,66677,06069,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-121.0858108 36.6116507)
2020,CA,California,San Bernardino,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,36.9,,,35.7,38.1,2194710,06071,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-116.1815707 34.8566615)
2021,CA,California,Mariposa,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,12.7,,,9.8,16.0,17147,06043,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-119.9117215 37.5743432)
2021,CA,California,Sacramento,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,29.6,,,26.4,33.1,1588921,06067,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-121.3443291 38.4501363)
2020,CA,California,Siskiyou,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,31.3,,,24.2,38.2,44118,06093,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-122.5332868 41.5879861)
2020,CA,California,Santa Clara,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,28.6,,,27.5,29.7,1885508,06085,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-121.6895401 37.2216142)
2021,CA,California,Sutter,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,6.7,,,5.7,8.0,99063,06101,HLTHOUT,COPD,CrdPrv,COPD,POINT (-121.7039397 39.0361898)
2021,CA,California,Kern,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,17.4,,,15.2,19.9,917673,06029,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-118.7295064 35.3466288)
2020,CA,California,Nevada,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,68.6,,,65.3,72.0,103487,06057,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-120.7713429 39.2975082)
2021,CA,California,Riverside,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,84.3,,,81.6,86.9,2458395,06065,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-116.0022389 33.7298275)
2021,CA,California,Mono,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,12.3,,,9.4,15.4,13247,06051,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-118.8751668 37.9158363)
2021,CA,California,Contra Costa,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,9.1,,,7.8,10.6,1161413,06013,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-121.9515431 37.919479)
2021,CA,California,Trinity,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,9.7,,,8.7,10.7,16060,06105,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-123.114666 40.6478582)
2021,CA,California,Mono,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,52.4,,,47.2,57.8,13247,06051,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-118.8751668 37.9158363)
2021,CA,California,Butte,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8.8,,,6.9,11.0,208309,06007,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-121.6032086 39.6653362)
2021,CA,California,Lake,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,39.3,,,34.3,44.4,68766,06033,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-122.7467569 39.0948019)
2021,CA,California,San Mateo,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,3.5,,,2.8,4.2,737888,06081,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-122.3715457 37.4146725)
2021,CA,California,Santa Barbara,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.1,,,68.3,75.7,446475,06083,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-120.0383645 34.5366774)
2021,CA,California,Napa,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,17.8,,,14.5,21.6,136207,06055,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-122.3259045 38.5070999)
2021,CA,California,Nevada,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.1,,,11.9,16.5,103487,06057,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-120.7713429 39.2975082)
2021,CA,California,San Mateo,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,86.3,,,83.7,88.8,737888,06081,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-122.3715457 37.4146725)
2021,CA,California,Alameda,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.4,,,2.1,2.7,1648556,06001,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-121.912488 37.6471385)
2021,CA,California,Mendocino,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,60.3,,,53.9,66.4,91305,06045,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-123.4428811 39.4323876)
2020,CA,California,Modoc,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,81.6,,,79.0,84.1,8661,06049,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-120.7183704 41.5929185)
2021,CA,California,Napa,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,17.6,,,14.4,21.2,136207,06055,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-122.3259045 38.5070999)
2021,CA,California,Nevada,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,5.7,,,4.4,7.3,103487,06057,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-120.7713429 39.2975082)
2020,CA,California,Contra Costa,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,64.6,,,62.3,66.8,1161413,06013,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-121.9515431 37.919479)
2021,CA,California,Solano,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,16.2,,,13.3,19.4,451716,06095,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-121.939594 38.2672255)
2021,CA,California,San Luis Obispo,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,84.9,,,82.0,87.5,283159,06079,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-120.4488974 35.3881891)
2020,CA,California,Trinity,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,34.4,,,32.8,35.6,16060,06105,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-123.114666 40.6478582)
2021,CA,California,Shasta,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,17.8,,,15.5,20.3,182139,06089,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-122.0435558 40.7605142)
2021,CA,California,Los Angeles,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,12.7,,,11.0,14.5,9829544,06037,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-118.2618616 34.1963983)
2020,CA,California,Alameda,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,63.1,,,60.4,65.7,1648556,06001,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-121.912488 37.6471385)
2020,CA,California,San Diego,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,60.5,,,57.9,63.1,3286069,06073,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-116.7761174 33.0236041)
2020,CA,California,Madera,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,66.9,,,63.0,70.6,159410,06039,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-119.7498023 37.2098213)
2021,CA,California,Mono,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.4,,,2.9,4.0,13247,06051,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-118.8751668 37.9158363)
2021,CA,California,Modoc,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,5.6,,,4.8,6.4,8661,06049,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-120.7183704 41.5929185)
2021,CA,California,San Luis Obispo,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,24.4,,,20.7,28.1,283159,06079,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-120.4488974 35.3881891)
2021,CA,California,Lassen,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,5.6,,,4.9,6.4,33159,06035,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-120.6212225 40.7152866)
2021,CA,California,San Mateo,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.2,,,8.6,11.9,737888,06081,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-122.3715457 37.4146725)
